fault,count,percent,registros,rpm_distintos,rpm_min,rpm_max,rpm_values,primeira_ocorrencia,ultima_ocorrencia,duracao_horas
rolamento_inner,13000,7.7939518933307745,13000,3,500.0,2000.0,"500, 1000, 2000",2026-05-20 21:53:15.757898+00:00,2026-05-22 07:55:59.614290+00:00,34.045515664444444
eccentric_rotor,11808,7.079306458188446,11808,3,500.0,2000.0,"500, 1000, 2000",2026-05-12 05:21:20.862937+00:00,2026-05-18 20:08:19.495967+00:00,158.78295361944444
desbalanceado_1parafuso,10079,6.042710856375453,10079,3,500.0,2000.0,"500, 1000, 2000",2026-04-30 19:19:10.406275+00:00,2026-06-02 12:17:50.934290+00:00,784.977924448611
cocked_rotor,10000,5.995347610254442,10000,3,500.0,2000.0,"500, 1000, 2000",2026-05-18 21:07:08.418140+00:00,2026-06-01 20:45:46.808171+00:00,335.6439972308333
rolamento_outer,10000,5.995347610254442,10000,3,500.0,2000.0,"500, 1000, 2000",2026-05-19 07:37:49.341659+00:00,2026-05-20 21:07:06.909481+00:00,37.48821328388889
rolamento_combination,10000,5.995347610254442,10000,3,500.0,2000.0,"500, 1000, 2000",2026-05-22 08:02:21.630142+00:00,2026-05-25 14:35:25.320825+00:00,78.55102518972222
rolamento_ball,9004,5.3982109882730995,9004,3,500.0,2000.0,"500, 1000, 2000",2026-05-21 21:32:11.275482+00:00,2026-05-25 22:25:49.116976+00:00,96.89384485944444
polia,9000,5.395812849228998,9000,3,500.0,2000.0,"500, 1000, 2000",2026-05-25 23:51:35.574775+00:00,2026-05-26 16:11:14.075310+00:00,16.32736125972222
ventoinha,9000,5.395812849228998,9000,3,500.0,2000.0,"500, 1000, 2000",2026-05-26 17:44:38.602382+00:00,2026-05-27 16:44:30.782595+00:00,22.997827836944445
correia,9000,5.395812849228998,9000,3,500.0,2000.0,"500, 1000, 2000",2026-05-27 19:13:15.061793+00:00,2026-06-01 20:01:14.951872+00:00,120.79996946638889
normal_2,6000,3.5972085661526654,6000,3,500.0,2000.0,"500, 1000, 2000",2026-06-03 22:23:20.326515+00:00,2026-06-05 12:21:57.154490+00:00,37.97689665972222
normal,5738,3.440130458763999,5738,3,500.0,2000.0,"500, 1000, 2000",2026-04-30 17:36:21.829153+00:00,2026-06-09 00:33:52.143163+00:00,942.9584205583333
desalinhado,4000,2.398139044101777,4000,3,500.0,2000.0,"500, 1000, 2000",2026-06-03 20:10:21.870996+00:00,2026-06-05 14:43:23.448484+00:00,42.55043819111111
desalinhado_2,3998,2.396939974579726,3998,3,500.0,2000.0,"500, 1000, 2000",2026-06-04 00:16:56.551864+00:00,2026-06-05 14:07:39.355523+00:00,37.84522323861111
cocked_rotor_2,3075,1.843569390153241,3075,3,500.0,2000.0,"500, 1000, 2000",2026-06-01 20:48:36.534646+00:00,2026-06-01 22:14:24.245284+00:00,1.4299196216666665
rolamento_inner_2,3012,1.805798700208638,3012,3,500.0,2000.0,"500, 1000, 2000",2026-06-02 16:52:12.368412+00:00,2026-06-02 20:07:38.731003+00:00,3.257322941944444
eccentric_rotor_2,3000,1.7986042830763327,3000,3,500.0,2000.0,"500, 1000, 2000",2026-06-01 22:21:04.109226+00:00,2026-06-02 00:21:20.001443+00:00,2.004414504722222
polia_2,3000,1.7986042830763327,3000,3,500.0,2000.0,"500, 1000, 2000",2026-06-02 14:39:08.537069+00:00,2026-06-02 16:19:46.195885+00:00,1.677127448888889
rolamento_outer_2,3000,1.7986042830763327,3000,3,500.0,2000.0,"500, 1000, 2000",2026-06-02 21:35:06.451157+00:00,2026-06-03 15:28:49.341658+00:00,17.89524736138889
rolamento_ball_2,3000,1.7986042830763327,3000,3,500.0,2000.0,"500, 1000, 2000",2026-06-02 23:50:06.485548+00:00,2026-06-03 16:25:31.330285+00:00,16.590234649166668
rolamento_combination_2,3000,1.7986042830763327,3000,3,500.0,2000.0,"500, 1000, 2000",2026-06-03 16:31:46.823683+00:00,2026-06-03 18:12:42.255799+00:00,1.6820644766666666
ventoinha_2,2999,1.7980047483153072,2999,3,500.0,2000.0,"500, 1000, 2000",2026-06-02 12:23:12.167233+00:00,2026-06-02 14:31:58.973096+00:00,2.1463349619444445
correia_2,2999,1.7980047483153072,2999,3,500.0,2000.0,"500, 1000, 2000",2026-06-03 18:25:28.115277+00:00,2026-06-03 20:06:33.192974+00:00,1.684743804722222
new_desalinhado_2,400,0.2398139044101777,400,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-12 16:08:15.016619+00:00,2026-06-16 12:00:05.414899+00:00,91.86399952222223
motor_desligado,397,0.23801530012710134,397,1,0.0,0.0,0,2026-04-30 17:17:41.549800+00:00,2026-06-05 21:26:29.241544+00:00,868.14658104
normal_carga,300,0.1798604283076333,300,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 19:40:54.366009+00:00,2026-06-05 20:53:11.753486+00:00,1.2048298547222223
normal_novo,300,0.1798604283076333,300,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 22:30:14.222829+00:00,2026-06-05 22:52:11.913519+00:00,0.36602519166666664
desbalanceado_1parafuso_3,237,0.1420897383630303,237,1,500.0,500.0,500,2026-06-04 01:06:23.103458+00:00,2026-06-04 01:14:15.155329+00:00,0.13112551972222222
new_desbalanceado_2,208,0.12470323029329242,208,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-16 11:15:19.547123+00:00,2026-06-16 11:36:45.384433+00:00,0.3571770305555555
new_rolamento_outer_0,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-10 18:29:18.695816+00:00,2026-06-15 21:32:28.320478+00:00,123.05267351722222
new_rolamento_inner_0,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-10 18:46:36.937447+00:00,2026-06-15 21:49:15.661579+00:00,123.04409003666667
new_rolamento_comb_0,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-10 19:04:09.580892+00:00,2026-06-15 21:55:48.525915+00:00,122.86081806194444
