fault_base_candidate,registros,variantes
new_normal,1300,7
new_desalinhado,1030,5
rolamento_inner,16312,4
eccentric_rotor,15108,4
rolamento_combination,13300,4
rolamento_outer,13300,4
rolamento_ball,12304,4
normal,11858,4
new_desbalanceado,808,4
new_falta_fase,800,4
new_rolamento_ball,800,4
new_rolamento_comb,800,4
new_rolamento_inner,800,4
new_rolamento_outer,800,4
new_cocked,600,4
new_desbalanceado_antigo,600,4
new_eccentric,600,4
ventoinha,12149,3
desalinhado,8148,3
desbalanceado_carga,400,3
cocked_rotor,13075,2
polia,12000,2
correia,11999,2
desbalanceado_1parafuso,10316,2
normal_carga,450,2
eccentric_rotor_carga,300,2
normal_adxl,300,2
rolamento_ball_carga,300,2
rolamento_inner_carga,300,2
normal_carga_3,250,2
rolamento_outer_adxl,213,2
desbalanceado_adxl,142,2
