fault_family,count,percent
rolamento_inner,17712,10.618959687282668
eccentric_rotor,16497,9.890524952636753
normal,14958,8.967840955418595
rolamento_outer,14763,8.850931677018634
rolamento_combination,14550,8.723230772920214
cocked_rotor,14275,8.558358713638217
rolamento_ball,13704,8.216024365092688
desbalanceado,13237,7.936041631693806
ventoinha,12299,7.373678025851939
polia,12000,7.194417132305331
correia,11999,7.193817597544305
desalinhado,9178,5.502530036691527
falta_fase,800,0.4796278088203554
motor_desligado,497,0.2979687762296458
teste,251,0.1504832250173865
baseline,69,0.04136789851075565
acelerando,7,0.004196743327178109
