config,k,purity,majority_accuracy,topk_hit
Standard,3,0.5984444444444444,0.6036666666666667,0.861
Standard,5,0.5467333333333333,0.601,0.8973333333333333
Standard,10,0.4879666666666667,0.595,0.937
Standard,20,0.4424833333333333,0.5783333333333334,0.964
Standard + RPM feature,3,0.6077777777777778,0.6153333333333333,0.8656666666666667
Standard + RPM feature,5,0.5576666666666666,0.613,0.902
Standard + RPM feature,10,0.4998666666666666,0.603,0.9403333333333334
Standard + RPM feature,20,0.4548333333333333,0.586,0.9683333333333334
Robust,3,0.6296666666666666,0.6263333333333333,0.8796666666666667
Robust,5,0.5756000000000001,0.623,0.9116666666666666
Robust,10,0.5222333333333333,0.6176666666666667,0.9496666666666667
Robust,20,0.4765,0.605,0.9713333333333334
Robust + RPM feature,3,0.6357777777777777,0.6343333333333333,0.8823333333333333
Robust + RPM feature,5,0.5827333333333333,0.632,0.9136666666666666
Robust + RPM feature,10,0.5285666666666666,0.6246666666666667,0.952
Robust + RPM feature,20,0.48245,0.611,0.9733333333333334
Robust + RPM filter,3,0.6648888888888889,0.6703333333333333,0.897
Robust + RPM filter,5,0.6158,0.6743333333333333,0.925
Robust + RPM filter,10,0.5684666666666667,0.6713333333333333,0.9576666666666667
Robust + RPM filter,20,0.5270833333333333,0.6606666666666666,0.978
