config,k,purity,majority_accuracy,topk_hit
Standard,3,0.6353333333333333,0.6426666666666667,0.881
Standard,5,0.5856,0.6363333333333333,0.9146666666666666
Standard,10,0.5319333333333334,0.637,0.9546666666666667
Standard,20,0.4887,0.6106666666666667,0.977
Standard + RPM feature,3,0.643,0.6523333333333333,0.885
Standard + RPM feature,5,0.5958666666666668,0.6493333333333333,0.9196666666666666
Standard + RPM feature,10,0.5428666666666666,0.644,0.9573333333333334
Standard + RPM feature,20,0.50055,0.6196666666666667,0.9806666666666667
Robust,3,0.6644444444444444,0.6633333333333333,0.8953333333333333
Robust,5,0.6137333333333334,0.664,0.9263333333333333
Robust,10,0.5670999999999999,0.6573333333333333,0.965
Robust,20,0.5246666666666666,0.6416666666666667,0.9836666666666667
Robust + RPM feature,3,0.67,0.6706666666666666,0.8983333333333333
Robust + RPM feature,5,0.6204000000000001,0.6723333333333333,0.929
Robust + RPM feature,10,0.5733333333333334,0.663,0.9676666666666667
Robust + RPM feature,20,0.5300166666666667,0.651,0.9846666666666667
Robust + RPM filter,3,0.6987777777777777,0.7056666666666667,0.9136666666666666
Robust + RPM filter,5,0.6536666666666666,0.707,0.9413333333333334
Robust + RPM filter,10,0.6088333333333333,0.702,0.97
Robust + RPM filter,20,0.5713999999999999,0.698,0.9873333333333333
